parameter,factor,delta_center_pct,delta_surface_pct,delta_mean_pct,center_kg_kg,surface_kg_kg,mean_kg_kg
frozen,,22.538242160272205,-14.148038338340186,8.390099805971918,2.164242408311943,0.8654934804080419,1.498522428422938
h,0.9,0.2573256671735802,0.07547769579674402,0.16042718215516505,1.7707219568976764,1.0088840350064276,1.3847449798603508
h,1.1,-0.2049296520469368,-0.07168535071589988,-0.13218863470813025,1.7625577091682507,1.007400450300284,1.3806994870961051
hm,0.9,2.4602162345930934,7.901622569836753,4.4292838103353604,1.8096289062942896,1.0877812114262808,1.4437630766468759
hm,1.1,-2.2088286308468263,-7.041175404953859,-3.942255413007134,1.7271653037000925,0.9371394092365541,1.328024283998307
