time_h,R_m,Csurface_shrink,Csurface_fixed,G,Q,GQ
5.033333333333333215e+00,1.422316479999999848e-02,4.880976361446486833e-01,4.996721107355129310e-01,1.406156806957619132e+00,9.742607387769443017e-01,1.369963369582759105e+00
5.049999999999999822e+00,1.421455519999999945e-02,4.868206632639374698e-01,4.986119470194078085e-01,1.407008500695118514e+00,9.737166342725479540e-01,1.370027581689714724e+00
5.066666666666666430e+00,1.420583039999999929e-02,4.855493068208681651e-01,4.975560887115365594e-01,1.407872643615398989e+00,9.731731394058642515e-01,1.370103840470831225e+00
5.083333333333333037e+00,1.419699999999999955e-02,4.842835049207679377e-01,4.965045077585256705e-01,1.408748327111361665e+00,9.726301967136720128e-01,1.370191162518380024e+00
5.099999999999999645e+00,1.418807360000000004e-02,4.830231844057246149e-01,4.954571763094221537e-01,1.409634638489611458e+00,9.720877222945455420e-01,1.370288524996861490e+00
5.116666666666666252e+00,1.417906080000000055e-02,4.817682622203589005e-01,4.944140667189901861e-01,1.410530660817816528e+00,9.715456085715905576e-01,1.370394869273133365e+00
5.133333333333333748e+00,1.416997119999999916e-02,4.805186461322543678e-01,4.933751515405160326e-01,1.411435472783459266e+00,9.710037256652068738e-01,1.370509102608771679e+00
5.150000000000000355e+00,1.416081440000000087e-02,4.792742355511169228e-01,4.923404035214238861e-01,1.412348148564110728e+00,9.704619230053302958e-01,1.370630100208544810e+00
5.166666666666666963e+00,1.415159999999999682e-02,4.780349244338281678e-01,4.913097956120122678e-01,1.413267757709375960e+00,9.699200356668948864e-01,1.370756713964350393e+00
5.183333333333333570e+00,1.414233759999999895e-02,4.768006020669738887e-01,4.902833009606535897e-01,1.414193365034646099e+00,9.693778860058133162e-01,1.370887774600732634e+00
5.200000000000000178e+00,1.413303679999999840e-02,4.755711528765838580e-01,4.892608929119861005e-01,1.415124030526829335e+00,9.688352830984322539e-01,1.371022090734855148e+00
5.216666666666666785e+00,1.412370719999999844e-02,4.743464575796986216e-01,4.882425449983645027e-01,1.416058809262203066e+00,9.682920252513904646e-01,1.371158452295571095e+00
5.233333333333333393e+00,1.411435839999999886e-02,4.731263936274361370e-01,4.872282309586195015e-01,1.416996751336568217e+00,9.677479008671302507e-01,1.371295631641506807e+00
5.250000000000000000e+00,1.410499999999999948e-02,4.719108359305929645e-01,4.862179247221962708e-01,1.417936901807869576e+00,9.672026900472721067e-01,1.371432385745866123e+00
5.266666666666666607e+00,1.409564160000000010e-02,4.706996560252068029e-01,4.852116004123910864e-01,1.418878300651458035e+00,9.666561625923456580e-01,1.371567453293286887e+00
5.283333333333333215e+00,1.408629280000000053e-02,4.694927243781505943e-01,4.842092323449521118e-01,1.419819982728173891e+00,9.661080832164927745e-01,1.371699562025989971e+00
5.299999999999999822e+00,1.407696320000000056e-02,4.682899089570197182e-01,4.832107950098045723e-01,1.420760977765431754e+00,9.655582082499208907e-01,1.371827424042596055e+00
5.316666666666666430e+00,1.406766240000000001e-02,4.670910767140029063e-01,4.822162631102747121e-01,1.421700310351490915e+00,9.650062889095523122e-01,1.371949740433850984e+00
5.333333333333333037e+00,1.405840000000000041e-02,4.658960934862121928e-01,4.812256115311891458e-01,1.422636999943094560e+00,9.644520711028864435e-01,1.372065201022714565e+00
5.349999999999999645e+00,1.404918559999999983e-02,4.647048236314246239e-01,4.802388153462091025e-01,1.423570060886661048e+00,9.638952945264660510e-01,1.372172483117407360e+00
