time_s,Cmax
0.0,2.55
60.0,2.55
120.0,2.55
180.0,2.55
240.0,2.55
300.0,2.55
360.0,2.5500000000000003
420.0,2.55
480.0,2.55
540.0,2.5500000000000003
600.0,2.5500000000000003
660.0,2.5500000000000003
720.0,2.5500000000000003
780.0,2.5500000000000003
840.0,2.5500000000000003
900.0,2.5500000000000003
960.0,2.5500000000000003
1020.0,2.5500000000000003
1080.0,2.5500000000000003
1140.0,2.5500000000000003
1200.0,2.5500000000000003
1260.0,2.5500000000000003
1320.0,2.5500000000000003
1380.0,2.5500000000000007
1440.0,2.5500000000000003
1500.0,2.5500000000000003
1560.0,2.5500000000000003
1620.0,2.5500000000000007
1680.0,2.5500000000000003
1740.0,2.5500000000000003
1800.0,2.5500000000000003
1860.0,2.5500000000000003
1920.0,2.5500000000000003
1980.0,2.5500000000000007
2040.0,2.5500000000000003
2100.0,2.5500000000000003
2160.0,2.5500000000000003
2220.0,2.5500000000000003
2280.0,2.55
2340.0,2.549999999999999
2400.0,2.5499999999999954
2460.0,2.5499999999999856
2520.0,2.549999999999959
2580.0,2.549999999999891
2640.0,2.5499999999997254
2700.0,2.549999999999338
2760.0,2.549999999998461
2820.0,2.549999999996551
2880.0,2.5499999999925276
2940.0,2.54999999998432
3000.0,2.5499999999680703
3060.0,2.5499999999368055
3120.0,2.5499999998782417
3180.0,2.5499999997713028
3240.0,2.549999999580687
3300.0,2.5499999992485947
3360.0,2.549999998682446
3420.0,2.5499999977369114
3480.0,2.5499999961882613
3540.0,2.5499999936983535
3600.0,2.5499999897650483
3660.0,2.5499999836550993
3720.0,2.5499999743150856
3780.0,2.5499999602547274
3840.0,2.5499999393961406
3900.0,2.5499999088820724
3960.0,2.5499998648356224
4020.0,2.5499998020626813
4080.0,2.5499997136891177
4140.0,2.549999590725048
4200.0,2.549999421546303
4260.0,2.5499991912895217
4320.0,2.549998881150524
4380.0,2.549998467576752
4440.0,2.5499979213488273
4500.0,2.5499972065451857
4560.0,2.5499962793915976
4620.0,2.5499950870274897
4680.0,2.5499935661698294
4740.0,2.54999164165662
4800.0,2.549989224874068
4860.0,2.549986212082683
4920.0,2.549982482689061
4980.0,2.5499778974651237
5040.0,2.549972296807511
5100.0,2.5499654989884726
5160.0,2.5499572984613663
5220.0,2.5499474643836946
5280.0,2.5499357391707687
5340.0,2.549921836794114
5400.0,2.5499054410308544
5460.0,2.5498862040751002
5520.0,2.549863744287118
5580.0,2.5498376454385676
5640.0,2.549807455799558
5700.0,2.5497726869844164
5760.0,2.5497328135536668
5820.0,2.5496872730435034
5880.0,2.5496354657050015
5940.0,2.549576754353579
6000.0,2.5495104658845444
6060.0,2.549435892628114
6120.0,2.5493522909019735
6180.0,2.5492588789879695
6240.0,2.549154839617715
6300.0,2.5490393253874983
6360.0,2.548911460903458
6420.0,2.5487703421230683
6480.0,2.5486150399593575
6540.0,2.548444606666151
6600.0,2.548258082166411
6660.0,2.548054498262242
6720.0,2.547832875736376
6780.0,2.5475922234839494
6840.0,2.5473315495290834
6900.0,2.547049867883279
6960.0,2.546746197801768
7020.0,2.5464195662565507
7080.0,2.546069008761392
7140.0,2.545693567086656
7200.0,2.545292299155867
7260.0,2.5448642883885286
7320.0,2.5444086306178764
7380.0,2.5439244400235714
7440.0,2.54341085527933
7500.0,2.542867051430158
7560.0,2.542292244732266
7620.0,2.541685687424248
7680.0,2.5410466597107635
7740.0,2.540374463054806
7800.0,2.5396684324518883
7860.0,2.5389279419601745
7920.0,2.5381523885175405
7980.0,2.5373411856802055
8040.0,2.536493757594843
8100.0,2.5356095395004155
8160.0,2.534688008677465
8220.0,2.5337286921673354
8280.0,2.5327311657544707
8340.0,2.5316950261011226
8400.0,2.5306198710913903
8460.0,2.529505321901607
8520.0,2.5283510535330116
8580.0,2.5271567946274085
8640.0,2.525922285799508
8700.0,2.5246472516542977
8760.0,2.5233314191746095
8820.0,2.521974562557636
8880.0,2.5205765180598667
8940.0,2.5191371640699183
9000.0,2.5176563835245647
9060.0,2.516134071146119
9120.0,2.514570198033359
9180.0,2.5129647317146073
9240.0,2.5113175837270147
9300.0,2.5096287029937523
9360.0,2.5078981194565144
9420.0,2.5061259194795
9480.0,2.5043122053253892
9540.0,2.5024570774726014
9600.0,2.5005606326019176
9660.0,2.498622941323843
9720.0,2.496644079105918
9780.0,2.494624195074058
9840.0,2.4925634781543513
9900.0,2.490462149703686
9960.0,2.4883205175743077
10020.0,2.4861388976182144
10080.0,2.4839175508791165
10140.0,2.481656667800159
10200.0,2.479356392350784
10260.0,2.477016916011354
10320.0,2.4746384656224634
10380.0,2.472221310686308
10440.0,2.469765790602329
10500.0,2.4672722707959154
10560.0,2.4647410693615406
10620.0,2.4621725224666258
10680.0,2.459567072054026
10740.0,2.456925135356993
10800.0,2.454246954464681
10860.0,2.4515326365201435
10920.0,2.448782273434994
