time_s,Cmax
0.0,2.55
60.0,2.55
120.0,2.55
180.0,2.55
240.0,2.55
300.0,2.55
360.0,2.55
420.0,2.55
480.0,2.5500000000000003
540.0,2.5500000000000003
600.0,2.5500000000000003
660.0,2.5500000000000003
720.0,2.5500000000000003
780.0,2.5500000000000003
840.0,2.5500000000000003
900.0,2.5500000000000003
960.0,2.5500000000000003
1020.0,2.5500000000000003
1080.0,2.5500000000000003
1140.0,2.5500000000000003
1200.0,2.5500000000000003
1260.0,2.5500000000000003
1320.0,2.5500000000000003
1380.0,2.55
1440.0,2.5500000000000003
1500.0,2.5500000000000003
1560.0,2.5500000000000007
1620.0,2.5500000000000003
1680.0,2.5500000000000003
1740.0,2.5500000000000003
1800.0,2.5500000000000003
1860.0,2.55
1920.0,2.5500000000000003
1980.0,2.5500000000000003
2040.0,2.5500000000000003
2100.0,2.5500000000000003
2160.0,2.5500000000000003
2220.0,2.5500000000000003
2280.0,2.5500000000000003
2340.0,2.5500000000000007
2400.0,2.5500000000000003
2460.0,2.5500000000000003
2520.0,2.5499999999999994
2580.0,2.549999999999997
2640.0,2.5499999999999927
2700.0,2.549999999999981
2760.0,2.549999999999954
2820.0,2.549999999999894
2880.0,2.549999999999765
2940.0,2.549999999999495
3000.0,2.5499999999989464
3060.0,2.5499999999978638
3120.0,2.5499999999957854
3180.0,2.5499999999918903
3240.0,2.549999999984768
3300.0,2.549999999972038
3360.0,2.549999999949775
3420.0,2.5499999999116327
3480.0,2.54999999984756
3540.0,2.5499999997419214
3600.0,2.549999999570826
3660.0,2.549999999298395
3720.0,2.54999999887161
3780.0,2.549999998213341
3840.0,2.5499999972130385
3900.0,2.5499999957144848
3960.0,2.5499999934999056
4020.0,2.5499999902696273
4080.0,2.5499999856163593
4140.0,2.54999997899318
4200.0,2.5499999696740137
4260.0,2.5499999567056513
4320.0,2.5499999388500694
4380.0,2.5499999145157486
4440.0,2.549999881676611
4500.0,2.5499998377774986
4560.0,2.5499997796245832
4620.0,2.549999703260538
4680.0,2.549999603823724
4740.0,2.5499994753901696
4800.0,2.549999310796983
4860.0,2.549999101446128
4920.0,2.549998837089496
4980.0,2.5499985055942544
5040.0,2.549998092691998
5100.0,2.5499975817120974
5160.0,2.5499969532996833
5220.0,2.549996185122619
5280.0,2.5499952515724797
5340.0,2.5499941234535126
5400.0,2.5499927676435825
5460.0,2.5499911467553704
5520.0,2.5499892188046456
5580.0,2.5499869368782226
5640.0,2.549984248803407
5700.0,2.549981096811045
5760.0,2.5499774171994916
5820.0,2.5499731400383063
5880.0,2.5499681888911563
5940.0,2.5499624805227548
6000.0,2.549955924652419
6060.0,2.549948423771531
6120.0,2.549939872952496
6180.0,2.5499301595430754
6240.0,2.549919162876385
6300.0,2.5499067541672114
6360.0,2.5498927965318656
6420.0,2.549877144891793
6480.0,2.54985964586937
6540.0,2.5498401378537072
6600.0,2.549818451162337
6660.0,2.5497944083465542
6720.0,2.549767824372298
6780.0,2.549738506485336
6840.0,2.549706254296806
6900.0,2.549670860166933
6960.0,2.5496321095737655
7020.0,2.5495897812303214
7080.0,2.549543647305921
7140.0,2.549493473386963
7200.0,2.5494390185017286
7260.0,2.5493800356372125
7320.0,2.5493162725227405
7380.0,2.5492474721595095
7440.0,2.5491733732013535
7500.0,2.5490937104771434
7560.0,2.5490082159573695
7620.0,2.5489166194617248
7680.0,2.548818649089631
7740.0,2.5487140310850713
7800.0,2.548602489965025
7860.0,2.5484837493247587
7920.0,2.548357532393346
7980.0,2.548223561727981
8040.0,2.5480815591177204
8100.0,2.547931245096437
8160.0,2.5477723394358214
8220.0,2.5476045628586674
8280.0,2.5474276383579246
8340.0,2.5472412919029743
8400.0,2.547045251447201
8460.0,2.5468392462571274
8520.0,2.546623008031647
8580.0,2.546396273058099
8640.0,2.5461587828653083
8700.0,2.5459102828261795
8760.0,2.5456505204318285
8820.0,2.545379246042629
8880.0,2.5450962156320482
8940.0,2.54480119281348
9000.0,2.54449394886523
9060.0,2.5441742611319413
9120.0,2.543841912847012
9180.0,2.543496693687739
9240.0,2.5431383964948093
9300.0,2.5427668150182074
9360.0,2.5423817479267634
9420.0,2.5419830024042063
9480.0,2.5415703947763237
9540.0,2.5411437487747652
9600.0,2.5407028941841054
9660.0,2.540247665186668
9720.0,2.5397778989620865
9780.0,2.539293437314589
9840.0,2.5387941308448085
9900.0,2.538279838836571
9960.0,2.537750430682596
10020.0,2.5372057884243056
10080.0,2.5366458032556634
10140.0,2.5360703703459007
10200.0,2.535479384830763
10260.0,2.534872742153284
10320.0,2.5342503428202736
10380.0,2.5336120941565645
10440.0,2.5329579126084703
10500.0,2.532287726169155
10560.0,2.5316014725086022
10620.0,2.530899094551724
10680.0,2.530180543595088
10740.0,2.529445783833161
10800.0,2.5286947859367594
10860.0,2.527927514757552
10920.0,2.5271439269063087
